title, type, year, month, thumbnail, fOrder, jhOrder
'Self-Portrait with Grey Felt Hat III', 'oil on canvas', 1887, 0, 'http://www.vggallery.com/painting/f_0344.jpg', '344', '1353'
'Skull I', 'oil on canvas', 1887, 0, 'http://www.vggallery.com/painting/f_0297.jpg', '297', '1346'
'Skull II', 'oil on canvas', 1887, 0, 'http://www.vggallery.com/painting/f_0297a.jpg', '297a', '1347'
'Two Peasants Digging (after Millet)', 'oil on canvas', 1889, 9, 'http://www.vggallery.com/painting/f_0648.jpg', '648', '1833'
'Poppies and Butterflies', 'oil on canvas', 1890, 4, 'http://www.vggallery.com/painting/f_0748.jpg', '748', '2013'
'Roses and Beetle', 'oil on canvas', 1890, 4, 'http://www.vggallery.com/painting/f_0749.jpg', '749', '2012'
'Wild Roses', 'oil on canvas', 1890, 4, 'http://www.vggallery.com/painting/f_0597.jpg', '597', '2011'
'Field with Two Rabbits', 'oil on canvas', 1889, 11, 'http://www.vggallery.com/painting/f_0739.jpg', '739', '1876'
'The Garden of Saint-Paul Hospital I', 'oil on canvas', 1889, 11, 'http://www.vggallery.com/painting/f_0659.jpg', '659', '1850'
'At the Foot of the Mountains', 'oil on canvas', 1889, 5, 'http://www.vggallery.com/painting/f_0723.jpg', '723', '1722'
'Wheat Fields with Reaper at Sunrise', 'oil on canvas', 1889, 8, 'http://www.vggallery.com/painting/f_0618.jpg', '618', '1773'
'Blossoming Almond Tree', 'oil on canvas', 1890, 1, 'http://www.vggallery.com/painting/f_0671.jpg', '671', '1891'
'Cypresses and Two Women', 'oil on canvas', 1890, 1, 'http://www.vggallery.com/painting/f_0621.jpg', '621', '1888'
'The Woodcutter (after Millet)', 'oil on canvas', 1890, 1, 'http://www.vggallery.com/painting/f_0670.jpg', '670', 1886
'The Plough and the Harrow (after Millet)', 'oil on canvas', 1890, 0, 'http://www.vggallery.com/painting/f_0632.jpg', '632', '1882'
'Tree Trunks with Ivy I', 'oil on canvas', 1889, 6, 'http://www.vggallery.com/painting/f_0746.jpg', '746', '1762'
'Undergrowth with Ivy', 'oil on canvas', 1889, 6, 'http://www.vggallery.com/painting/f_0745.jpg', '745', '1764'
'Olive Grove: Bright Blue Sky', 'oil on canvas', 1889, 5, 'http://www.vggallery.com/painting/f_0709.jpg', '709', '1760'
'Evening: The Watch (after Millet)', 'oil on canvas', 1889, 10, 'http://www.vggallery.com/painting/f_0647.jpg', '647', '1834'
'Cottages and Cypresses: Reminiscence of the North', 'oil on canvas', 1890, 3, 'http://www.vggallery.com/painting/f_0675.jpg', '675', '1921'
'Great Peacock Moth', 'oil on canvas', 1889, 4, 'http://www.vggallery.com/painting/f_0610.jpg', '610', '1702'
'The Raising of Lazarus (after Rembrandt)', 'oil on canvas', 1890, 4, 'http://www.vggallery.com/painting/f_0677.jpg', '677', '1972'
'Still Life: Vase with Irises Against a Yellow Background', 'oil on canvas', 1890, 4, 'http://www.vggallery.com/painting/f_0678.jpg', '678', '1977'
'Entrance to a Quarry', 'oil on canvas', 1889, 4, 'http://www.vggallery.com/painting/f_0744.jpg', '744', '1802'
'Olive Grove I', 'oil on canvas', 1889, 11, 'http://www.vggallery.com/painting/f_0707.jpg', '707', '1857'
'Olive Trees against a Slope of a Hill', 'oil on canvas', 1889, 11, 'http://www.vggallery.com/painting/f_0716.jpg', '716', '1878'
'Les Peiroulets Ravine I', 'oil on canvas', 1889, 9, 'http://www.vggallery.com/painting/f_0645.jpg', '645', '1803'
'Portrait of a Patient in Saint-Paul Hospital', 'oil on canvas', 1889, 9, 'http://www.vggallery.com/painting/f_0703.jpg', '703', '1832'
